id,createdDate,updatedDate,createdBy,version,authorizationId,storageBucketId,displayName,tagsetId,mimeType,size,externalID
6e6ce7c7-0058-43ad-8a28-8a48d663633f,"2023-12-05 15:46:44.839463","2023-12-05 15:46:44.000000",efea4dfb-af17-411c-bf28-e42b390eebb0,2,1152b20e-8f72-4ccf-bc7d-d25e2b282bca,NULL,bee.jpeg,fddb64ee-fa09-4060-9ea2-b6743631f4e1,image/jpeg,78786,QmYAWN7Tbjfh38Mj2YzxwKkZYNE3nBTAvCFK5Dd5umgaup
74209ccf-96bc-4fe5-aac2-22709a33770e,"2023-11-13 21:20:13.696249","2023-11-13 21:20:13.000000",efea4dfb-af17-411c-bf28-e42b390eebb0,3,f9005a44-5926-42b5-b3fb-478b84867da5,NULL,,5fd6b5bf-51d2-4cfa-952a-27074423d07a,image/jpeg,31831,QmeXoDWY86iPCwdCZVgD2becmbgN2wy5XC9RC832ffV22z
790e0393-e161-4cf9-9146-b611daa29d97,"2023-11-13 21:20:14.265900","2023-11-13 21:20:14.000000",efea4dfb-af17-411c-bf28-e42b390eebb0,5,0766d2b9-2cea-40d2-b683-586b6e856f53,NULL,,e132046b-29d9-4e83-9083-e1df043b65e3,image/jpeg,20718,QmViQoajobQiqmFLn1Mk3rBt5BiGbnidYXso8oKiWq1fcp
82e4bd22-091a-465f-8508-dfc621b10fec,"2023-11-06 14:54:15.178748","2023-11-06 14:54:15.000000",efea4dfb-af17-411c-bf28-e42b390eebb0,2,3e28c0f6-511b-45bf-9119-4cfb3fa66d10,NULL,WhiteboardTemplate-wireframesmenustru-4-11f7ce0d-2eca-4cfe-a54f-868ebbcf0c63,a22384e5-e0b7-4a54-a541-2b7abe28f0d5,image/png,210473,QmZxL3WJbmUYqY4WKhPV84nLqhts2T3vxS32TCtzbUMtHK
83ab18c5-3ad6-408b-b75a-dde83bb65f0b,"2023-11-13 21:20:13.682041","2023-11-13 21:20:13.000000",efea4dfb-af17-411c-bf28-e42b390eebb0,2,eefe6a1d-2216-4e03-a8af-6ab3d193e300,NULL,,be837def-cefd-4997-bbc9-2d0871dbd89e,image/jpeg,31831,QmeXoDWY86iPCwdCZVgD2becmbgN2wy5XC9RC832ffV22z
8661c930-e200-4daa-b66b-dabb314afea9,"2023-11-06 14:54:21.258921","2023-11-06 14:54:21.000000",efea4dfb-af17-411c-bf28-e42b390eebb0,2,a660914e-4cf5-42d5-a1ae-5a1e2e3814a7,NULL,"WhiteboardTemplate-Empty Template-ec0bf3b1-e7e3-4294-951a-3e0ce77c24f7",27ffa559-196e-4c7b-8fd9-23aa23224c5e,image/jpeg,12955,QmYc2LvHneNurSCbUySAphhAigens6FgSN6DM1XS24nTXR
8d4a1875-111f-4cba-a711-a3e1d6c9a1f0,"2024-07-31 08:19:44.462273","2024-07-31 08:19:44.462273",efea4dfb-af17-411c-bf28-e42b390eebb0,1,80aa4d35-5d69-46c0-b7c1-10a30c1e991b,NULL,alkemio.jpeg,1a38b592-331c-412f-a25d-3722a94076ed,image/jpeg,47877,ae450994f583a55f836e2517919407d3dbcf0f363406fa31fd86098c4bd38c1e
9404711f-d3bc-4e7b-8c9a-b3d2156e2fea,"2023-11-22 12:09:03.618351","2023-11-22 12:09:03.000000",NULL,3,7e667549-d2b0-4545-8336-9bd5f4ab9fd6,NULL,,ce97a02a-9fc1-4c12-a43b-e7335ec299bc,image/jpeg,25935,QmeqevNoF85xjn5YcGXyFPDkuGjbueiFbMwhQXTgxpUy3m
97577289-66b6-446f-983a-0d2649deaf59,"2024-07-31 08:17:29.812042","2024-07-31 08:17:29.812042",efea4dfb-af17-411c-bf28-e42b390eebb0,1,1586437a-b912-472d-8a05-29e33e5bc491,NULL,alkemio.jpeg,8cd0167f-3057-459b-99c1-e2e2ae11f0d7,image/jpeg,47877,ae450994f583a55f836e2517919407d3dbcf0f363406fa31fd86098c4bd38c1e
999dded4-6fb5-41eb-b254-5d8fa4a9d458,"2023-11-06 14:54:16.515424","2023-11-06 14:54:16.000000",efea4dfb-af17-411c-bf28-e42b390eebb0,2,ce844b16-72f3-4982-b955-95a632b52924,NULL,"WhiteboardTemplate-very very big canvas-30769709-f5a4-41ee-b346-4158d75ccfbf",76538850-ea3f-41cd-abf7-bae7a59fa110,image/png,194662,QmU91mkZmG9oJEEgVj3Lfg1n2LDCd2KbZKbWEoLJusMXr9
9e678842-51f2-44f9-8128-b81c21c755e3,"2023-11-06 14:54:19.887283","2023-11-06 14:54:19.000000",efea4dfb-af17-411c-bf28-e42b390eebb0,2,6fa7ec86-1c52-4ec4-8eb1-765ca01c693e,NULL,"WhiteboardTemplate-very very big canvas-acff8ace-5168-4a1a-ad8a-2b82644f19f1",b7b1d1c9-4504-43fd-a20a-f57235f415df,image/png,403580,QmXR584qMD1kZWQdGjPoUWX55UUUttRz4t4PfU7tCii6Wy
a14ff91d-37fd-4262-aca8-6af745133667,"2023-11-06 14:54:16.692609","2023-11-06 14:54:16.000000",efea4dfb-af17-411c-bf28-e42b390eebb0,2,b294a6d9-b998-489f-b23d-7a3405d22f4f,NULL,"WhiteboardTemplate-Custom Template-34c3861a-339c-4c6e-a531-6c73d0776ec0",566e3e2c-1ffa-4d62-9272-2eb09bdd96b8,image/png,169165,QmYnGC886g2Mb9ZEU2YxRxunaFTWan5FVpsDWDYGuu6RsD
a1cdeb64-7f48-48b8-8877-f4bf4a5b25ce,"2024-07-31 08:17:14.444327","2024-07-31 08:17:14.444327",efea4dfb-af17-411c-bf28-e42b390eebb0,1,36b1d69a-246f-4457-ae17-4edab2bf943e,NULL,alkemio.jpeg,aa1a41a4-4dd9-4243-9795-0ec7f5c3ae31,image/jpeg,47877,ae450994f583a55f836e2517919407d3dbcf0f363406fa31fd86098c4bd38c1e
a55d98be-fddc-4460-999d-3e196e293f11,"2024-07-31 08:20:14.766219","2024-07-31 08:20:14.766219",efea4dfb-af17-411c-bf28-e42b390eebb0,1,a5641099-04ec-4236-8ca1-ebb40e3ebda5,NULL,alkemio.jpeg,77196db8-e10e-493d-8507-200e68ecbfee,image/jpeg,47877,ae450994f583a55f836e2517919407d3dbcf0f363406fa31fd86098c4bd38c1e
aa28ea8b-088f-4ed6-9b1d-e933ee3d8dcf,"2023-11-06 14:54:15.108587","2023-11-06 14:54:15.000000",efea4dfb-af17-411c-bf28-e42b390eebb0,2,3d16c1b7-dcd8-48ab-bbdf-c12b1883ea2e,NULL,"WhiteboardTemplate-Custom Template-05dbb69b-fa5b-41f0-a49b-a3b4a9b36b0f",125fd763-9abe-4d29-badf-bcfcc5e3d6ec,image/png,24914,QmSihZzbtta9hr79L6hv8SGECJob6JuT9ofHGANxmyjfCQ
aeb41306-dfa2-445e-b633-aebb64c24f8a,"2024-07-31 08:19:29.719713","2024-07-31 08:19:29.719713",efea4dfb-af17-411c-bf28-e42b390eebb0,1,a91fabce-8c28-4c6a-a45c-8faa8c000e1d,NULL,alkemio.jpeg,a7dd83ab-6d15-427b-b3d1-c5b519de501b,image/jpeg,47877,ae450994f583a55f836e2517919407d3dbcf0f363406fa31fd86098c4bd38c1e
b403b61d-7c23-49c3-912c-62d4a62d325c,"2024-03-05 10:59:47.682417","2024-03-05 10:59:47.000000",efea4dfb-af17-411c-bf28-e42b390eebb0,3,fbd6440c-5fd9-4af8-a85b-ea437a10d78b,NULL,bee.jpeg,a7cd6899-c503-49a8-874b-79cf22759612,image/jpeg,78786,QmYAWN7Tbjfh38Mj2YzxwKkZYNE3nBTAvCFK5Dd5umgaup
b80b9c18-4710-424c-b538-195cf2822dea,"2024-02-20 16:48:13.198537","2024-02-20 16:48:13.000000",2de21941-a21f-4cfc-a076-3aa3bc74157e,3,4bdb1dc5-50ac-4cae-86a0-31641d6296ca,NULL,,b29c57bf-c262-4908-b6b7-4872c4f251c8,image/jpeg,25935,7f53cc31b6538a1c71a5606d06cae22aa4f79fc04ff602f9c0b4a0506f3737cd
c28f356d-c93d-4f19-8b11-53a725f40851,"2024-02-01 13:58:02.140859","2024-02-01 13:58:02.000000",42d306a6-1ab1-409e-bee7-2fbf37f1636c,3,226eed24-5a17-4161-8669-ba17a5894f76,NULL,pexels-carlos-spitzer-17811.jpg,b78b16d4-cf47-46b0-bd94-dca9733da9fe,image/jpeg,3398948,df83cd50b85bcecb7ebc4992eb3fed3b66dd720723610ddd80145b2fc60fbfe7
c39f7310-6135-48b0-b456-4f635ac72501,"2023-11-06 14:54:19.830239","2023-11-06 14:54:19.000000",efea4dfb-af17-411c-bf28-e42b390eebb0,2,1c2b2c02-f284-4040-aabe-060b76be58b4,NULL,"WhiteboardTemplate-very very big canvas-acff8ace-5168-4a1a-ad8a-2b82644f19f1",c33c8f37-1a3d-4edd-a77f-8c7572902ed7,image/png,210473,QmZxL3WJbmUYqY4WKhPV84nLqhts2T3vxS32TCtzbUMtHK
c3a7b15e-f041-4008-9e60-3d0a540deee5,"2024-07-31 08:19:14.453818","2024-07-31 08:19:14.453818",efea4dfb-af17-411c-bf28-e42b390eebb0,1,c8d1a31b-9bc8-49cc-8747-06f43478b5e0,NULL,alkemio.jpeg,e1d51a16-e99d-4c34-a9af-89bd6a641619,image/jpeg,47877,ae450994f583a55f836e2517919407d3dbcf0f363406fa31fd86098c4bd38c1e
c55deea2-ca4f-4501-a8ad-d71ad548a5b8,"2023-11-06 14:54:20.203771","2023-11-06 14:54:20.000000",efea4dfb-af17-411c-bf28-e42b390eebb0,2,a36cd45a-0b08-470a-940a-012a48892717,NULL,"WhiteboardTemplate-very very big file-ba2a1c7b-bc8e-444f-8b94-bdcdb0fb128a",449d9e96-3824-4eb2-bc3f-253612b2b4b5,image/png,403580,QmXR584qMD1kZWQdGjPoUWX55UUUttRz4t4PfU7tCii6Wy
c6325e5f-3ec0-490d-97a8-41f41bf88b9d,"2023-11-06 14:54:15.287361","2023-11-06 14:54:15.000000",efea4dfb-af17-411c-bf28-e42b390eebb0,2,5dc76c89-6087-4a59-a3ff-9735b8a19b54,NULL,WhiteboardTemplate-wireframesmenustru-4-11f7ce0d-2eca-4cfe-a54f-868ebbcf0c63,66b05665-a11d-4aa2-a7e6-57216946c401,image/png,252972,QmS5DUtnCtFK2FkWgrc4SwacsW23toNqFx9vwUHs7Dvrey
c6ab11f5-f1da-48df-b383-6694599725b4,"2024-07-31 08:16:59.436396","2024-07-31 08:16:59.436396",efea4dfb-af17-411c-bf28-e42b390eebb0,1,3bb88fab-b0f2-49f5-8a51-27ac99d32dc6,NULL,alkemio.jpeg,bebdc524-8002-42a0-927e-798ecc28f9b9,image/jpeg,47877,ae450994f583a55f836e2517919407d3dbcf0f363406fa31fd86098c4bd38c1e
c7493e84-0d02-427a-84fe-4e36bbea247e,"2023-11-06 14:54:16.400983","2023-11-06 14:54:16.000000",efea4dfb-af17-411c-bf28-e42b390eebb0,2,048d7f77-cff2-4712-bd56-0ec4c7c7fa13,NULL,"WhiteboardTemplate-very very big canvas-30769709-f5a4-41ee-b346-4158d75ccfbf",3f22f737-39a5-4162-b854-bc848c04dcc0,image/png,403580,QmXR584qMD1kZWQdGjPoUWX55UUUttRz4t4PfU7tCii6Wy
d1c6f416-8c1d-458f-ab93-f7a3e8ee841f,"2023-12-05 15:46:45.336552","2023-12-05 15:46:45.000000",efea4dfb-af17-411c-bf28-e42b390eebb0,3,aecf4608-e264-43c1-95d9-815e74f7e171,NULL,impactFest.jpeg,9e5d40d6-9e75-466c-bb3e-51c7f97621be,image/jpeg,162911,QmRNGXU1UqVoF9k189NEDZjTNwSxwqqXk71c5hZoYbYanD
d288971e-4aa7-45ce-9078-f716a36344db,"2023-11-06 14:54:20.001817","2023-11-06 14:54:20.000000",efea4dfb-af17-411c-bf28-e42b390eebb0,2,1b230811-b124-48bb-89db-24fe36136fbd,NULL,"WhiteboardTemplate-very very big canvas-acff8ace-5168-4a1a-ad8a-2b82644f19f1",659f7ec9-8b94-408b-9623-a5636f064de9,image/png,194662,QmU91mkZmG9oJEEgVj3Lfg1n2LDCd2KbZKbWEoLJusMXr9
d620eaeb-db59-43b1-aeb2-b986f6452fc2,"2024-07-31 08:18:50.391674","2024-07-31 08:18:50.391674",efea4dfb-af17-411c-bf28-e42b390eebb0,1,93b177fd-fb39-4474-9e5e-f5152a543d80,NULL,alkemio.jpeg,1e422f31-f1d7-4221-9b07-5e649d8984a2,image/jpeg,47877,ae450994f583a55f836e2517919407d3dbcf0f363406fa31fd86098c4bd38c1e
d7122670-c4d9-40f3-b94a-fa70d7f913b0,"2023-11-06 14:54:15.342074","2023-11-06 14:54:15.000000",efea4dfb-af17-411c-bf28-e42b390eebb0,2,925253b7-28a3-4d44-9edf-8d8500950663,NULL,WhiteboardTemplate-wireframesmenustru-4-11f7ce0d-2eca-4cfe-a54f-868ebbcf0c63,785b2b3f-6785-4012-81aa-7524354f4e5d,image/png,194662,QmU91mkZmG9oJEEgVj3Lfg1n2LDCd2KbZKbWEoLJusMXr9
d7be3e06-365a-4fc5-bdb8-3a11eca7515f,"2023-11-06 14:54:18.130034","2023-11-06 14:54:18.000000",efea4dfb-af17-411c-bf28-e42b390eebb0,2,baadc3eb-708c-469d-a3ce-bc630912201d,NULL,"WhiteboardTemplate-very very big canvas-8d5d672f-6c98-43bf-80c9-6e7ebc9fba35",5d61364c-4503-4dbf-99f0-4b6e34140fff,image/png,210473,QmZxL3WJbmUYqY4WKhPV84nLqhts2T3vxS32TCtzbUMtHK
d8fb2017-4b15-4297-9915-6a72f3be0fca,"2023-11-06 14:54:18.192662","2023-11-06 14:54:18.000000",efea4dfb-af17-411c-bf28-e42b390eebb0,2,b79124c1-82ff-4a61-866e-cce85dad7832,NULL,"WhiteboardTemplate-very very big canvas-8d5d672f-6c98-43bf-80c9-6e7ebc9fba35",b40bbdff-43b7-4906-b368-254a460b7740,image/png,403580,QmXR584qMD1kZWQdGjPoUWX55UUUttRz4t4PfU7tCii6Wy
d9bc06be-4b5a-4ed4-8d50-e6427b08670e,"2024-07-31 08:18:14.571768","2024-07-31 08:18:14.571768",efea4dfb-af17-411c-bf28-e42b390eebb0,1,9a147657-3d4b-4a40-a6e8-79b237b6813e,NULL,alkemio.jpeg,9e98465c-39e7-4e5d-a6d4-e00be182b1e5,image/jpeg,47877,ae450994f583a55f836e2517919407d3dbcf0f363406fa31fd86098c4bd38c1e
da8fad4c-f353-4bec-8c92-0f63c6532e50,"2024-02-01 13:58:02.241083","2024-02-01 13:58:02.000000",42d306a6-1ab1-409e-bee7-2fbf37f1636c,3,0ef4112e-b527-4727-8710-870338d6bd5b,NULL,pexels-mati-mango-11481752.jpg,7e999a3b-0f94-4c04-992f-626485c679d8,image/jpeg,3007147,3c2d92e53d721eb529a2258671c31b56a4094f85710f20550f619a0bc4c88eb2
e0d0e6fe-a98d-4620-8226-2a643b63a7c4,"2023-12-05 15:46:45.601897","2023-12-05 15:46:45.000000",efea4dfb-af17-411c-bf28-e42b390eebb0,3,def1b91c-082a-437c-95b7-4e4145b25d2c,NULL,raising_alkemio_profile.jpeg,2b1f0bb8-db12-4650-aaf8-24430537883a,image/jpeg,130018,QmNQwBy7UVfnmdxYQkTwxJ5C3Yi4JMnpuHCLB7w53p5V9J
e456b103-eae4-444f-85dd-d5c8dad8c41c,"2023-12-05 15:46:44.940709","2023-12-05 15:46:44.000000",efea4dfb-af17-411c-bf28-e42b390eebb0,2,210ca6ec-e231-412d-aafc-2ab9e8d63326,NULL,alkemio.jpeg,4bca9272-3c7d-44f9-98b2-0efbcdf96aec,image/jpeg,72364,QmYoRXNvzmupVXQEAkwBQGx5nGENfvHgtJst7TE23m1J6F
e7f46a11-a82e-4bfc-8dc5-5357ea873ff5,"2023-11-06 14:54:20.449676","2023-11-06 14:54:20.000000",efea4dfb-af17-411c-bf28-e42b390eebb0,2,c1baf808-3416-41c9-b977-f9858852c11b,NULL,"WhiteboardTemplate-Mission design canvas OECD-d43f6c1f-2b4c-4507-aed7-a0a747ec9bd3",b6c0a0b8-cc2b-400d-adb5-87c653372e75,image/png,24914,QmSihZzbtta9hr79L6hv8SGECJob6JuT9ofHGANxmyjfCQ
e8265b8a-d8d5-4269-b79a-6c6e02f1ec4a,"2024-07-31 08:17:44.470005","2024-07-31 08:17:44.470005",efea4dfb-af17-411c-bf28-e42b390eebb0,1,59792b42-fa4f-4101-96e6-f72bed073f5e,NULL,alkemio.jpeg,db7a20c4-57a6-446f-b09a-4f5e81b8683b,image/jpeg,47877,ae450994f583a55f836e2517919407d3dbcf0f363406fa31fd86098c4bd38c1e
e9aafb85-3f93-4797-8fae-5a0b9596f265,"2023-11-22 14:03:24.913901","2023-11-22 14:03:25.000000",efea4dfb-af17-411c-bf28-e42b390eebb0,3,a1b2b1c5-26be-4b35-8033-b11b97f31c40,NULL,1_6-size.jpg,5bd89106-c960-4c51-b4ab-a8093da9c366,image/jpeg,374407,QmZKkyQAS4xMCYjHV8W2ekx3qZpb6jFKSAoDG3MqekXos3
ef8bd026-fdcd-4b66-9dd0-7a0809b1f933,"2024-07-31 08:20:59.476854","2024-07-31 08:20:59.476854",efea4dfb-af17-411c-bf28-e42b390eebb0,1,65a68b6b-114e-4785-84bb-cff5c046f1b9,NULL,alkemio.jpeg,b473edf2-eb9d-4dc0-bfa9-3eff904d4c63,image/jpeg,47877,ae450994f583a55f836e2517919407d3dbcf0f363406fa31fd86098c4bd38c1e
f0aa64b3-0b1d-4785-a2ec-2ed8bef18f63,"2024-02-01 13:56:23.668285","2024-02-01 13:56:23.000000",42d306a6-1ab1-409e-bee7-2fbf37f1636c,3,bd129c73-d60f-4232-92a9-3c3922bfa116,NULL,pexels-mati-mango-11481752.jpg,dc45b572-9d9d-4765-8e3e-74934fdaa439,image/jpeg,3007147,3c2d92e53d721eb529a2258671c31b56a4094f85710f20550f619a0bc4c88eb2
f1ca7ebe-21b4-4207-b9d0-b31a2de8444a,"2023-11-13 21:20:14.274627","2023-11-13 21:20:14.000000",efea4dfb-af17-411c-bf28-e42b390eebb0,3,10e540f1-c943-4759-8e21-210811ec1d74,NULL,,97ba6d71-28ce-4401-9f3d-966796f1e0fd,image/jpeg,20718,QmViQoajobQiqmFLn1Mk3rBt5BiGbnidYXso8oKiWq1fcp
f26dcf2f-5ae1-4408-a6ee-ca627b8df794,"2023-11-06 14:54:20.257463","2023-11-06 14:54:20.000000",efea4dfb-af17-411c-bf28-e42b390eebb0,2,414e6f9a-c776-4d33-8dc1-ec88fb95e328,NULL,"WhiteboardTemplate-very very big file-ba2a1c7b-bc8e-444f-8b94-bdcdb0fb128a",90cf6145-5300-4451-8f74-c48a66687fdd,image/png,252972,QmS5DUtnCtFK2FkWgrc4SwacsW23toNqFx9vwUHs7Dvrey
fcdf8376-89f5-4713-83b4-e535a0de7c6b,"2024-07-31 08:21:14.535728","2024-07-31 08:21:14.535728",efea4dfb-af17-411c-bf28-e42b390eebb0,1,bfc5252f-e6ec-4afb-903b-748599c28b6d,NULL,alkemio.jpeg,ad968697-543f-4507-ae60-45343edf9bed,image/jpeg,47877,ae450994f583a55f836e2517919407d3dbcf0f363406fa31fd86098c4bd38c1e
fe7ed673-8111-4e60-b6ff-ddafdfbe85f6,"2024-07-31 08:20:44.691714","2024-07-31 08:20:44.691714",efea4dfb-af17-411c-bf28-e42b390eebb0,1,620907ac-87c4-4126-93c1-265ff6976a95,NULL,alkemio.jpeg,37ca5770-727e-4e44-a3a5-7c70ce88ce16,image/jpeg,47877,ae450994f583a55f836e2517919407d3dbcf0f363406fa31fd86098c4bd38c1e
ff7561cb-4d1d-4b66-a68a-b3833fbf4f84,"2023-11-06 14:54:20.150366","2023-11-06 14:54:20.000000",efea4dfb-af17-411c-bf28-e42b390eebb0,2,f00154f8-8d2f-4504-9bdb-8e41593fc68c,NULL,"WhiteboardTemplate-very very big file-ba2a1c7b-bc8e-444f-8b94-bdcdb0fb128a",b50e5652-5f86-4e54-9ced-97dafe050cc1,image/png,210473,QmZxL3WJbmUYqY4WKhPV84nLqhts2T3vxS32TCtzbUMtHK
